City_names,Years,Asian_num,Asian_per,Latino_num,Latino_per,States,Black_num,A2B,L2B
Providence,1990,9547,5.939848688,24982,15.54302922,RI,23828,0.400663085445694,1.04843041799564
Providence,.Sample,9599,5.972201483,23744,14.77278383,RI,,,
Providence,1980,1694,1.080329583,9071,5.784928956,RI,18546,0.091340450771056,0.489108163485388
Providence,.Sample,3012,1.920869366,8648,5.515165429,RI,,,
Providence,.15% sample,NA,NA,1387,0.773861665,RI,,,
Providence,.5% sample,NA,NA,1992,1.111414878,RI,,,
Providence,1960,417,0.200965792,NA,NA,RI,,,
Warwick,1990,713,0.834630737,845,0.98914863,RI,673,1.0594353640416,1.2555720653789
Warwick,.Sample,623,0.729277629,618,0.723424678,RI,,,
Warwick,1980,358,0.410913306,504,0.578492476,RI,409,0.875305623471883,1.23227383863081
Warwick,.Sample,362,0.415504517,481,NA,RI,,,
Warwick,.15% sample,NA,NA,372,0.444710102,RI,,,
Warwick,.5% sample,NA,NA,432,0.516437537,RI,,,
Warwick,1960,33,-,NA,NA,RI,,,
Woonsocket,1990,1309,2.983339791,1156,2.634637737,RI,1158,1.13039723661485,0.998272884283247
Woonsocket,.Sample,1112,2.534357408,1153,2.627800442,RI,,,
Woonsocket,1980,185,0.402927212,346,0.753582785,RI,1204,0.153654485049834,0.287375415282392
Woonsocket,.Sample,210,0.457376835,339,0.738336891,RI,,,
Woonsocket,.15% sample,NA,NA,237,0.506193934,RI,,,
Woonsocket,.5% sample,NA,NA,21,-,RI,,,
Woonsocket,1960,27,0.057349193,NA,NA,RI,,,
Newport,1970,548,1.585556391,NA,NA,RI,,,
Charleston,1970,70,0.104563448,NA,NA,SC,,,
Greenville,1970,94,0.153574696,NA,NA,SC,,,
Columbia,1970,270,0.237797467,NA,NA,SC,,,
Charleston,1990,685,0.851841719,649,0.807073395,SC,33439,0.020485062352343,0.019408475133826
Charleston,.Sample,618,0.768522894,504,0.626756535,SC,,,
Charleston,1980,292,0.420083441,679,0.976837865,SC,32318,0.009035212575036,0.02100996348784
Charleston,.Sample,169,0.243130485,917,1.319234642,SC,,,
Charleston,.15% sample,NA,NA,445,0.664834016,SC,,,
Charleston,.5% sample,NA,NA,403,0.602085637,SC,,,
Charleston,1960,41,0.062191885,NA,NA,SC,,,
Columbia,1990,1399,1.426793946,1944,1.982621466,SC,42837,0.032658682914303,0.045381329224736
Columbia,.Sample,1368,1.395178069,2033,2.07338963,SC,,,
Columbia,1980,765,0.755869101,2220,2.19350249,SC,40703,0.018794683438567,0.054541434292313
Columbia,.Sample,721,0.712394277,2202,2.175717335,SC,,,
Columbia,.15% sample,NA,NA,2038,1.79493051,SC,,,
Columbia,.5% sample,NA,NA,2219,1.954342886,SC,,,
Columbia,1960,90,0.092371168,NA,NA,SC,,,
Greenville,1990,495,0.849318829,606,1.039772142,SC,20493,0.024154589371981,0.029571073049334
Greenville,.Sample,376,0.645139151,567,0.972856113,SC,,,
Greenville,1980,218,0.374300333,540,0.927165963,SC,20780,0.010490856592878,0.025986525505294
Greenville,.Sample,249,0.427526527,391,0.671336836,SC,,,
Greenville,.15% sample,NA,NA,239,0.390471834,SC,,,
Greenville,.5% sample,NA,NA,395,0.645340478,SC,,,
Greenville,1960,34,0.051368828,NA,NA,SC,,,
Aberdeen,1970,18,0.067986101,NA,NA,SD,,,
Sioux Falls,1970,68,0.09380863,NA,NA,SD,,,
Rapid City,1970,60,0.136873802,NA,NA,SD,,,
Aberdeen,1990,125,0.501464276,88,0.35303085,SD,39,3.20512820512821,2.25641025641026
Aberdeen,.Sample,143,0.573675131,108,0.433265134,SD,,,
Aberdeen,1980,103,0.396825397,92,0.354445986,SD,18,5.72222222222222,5.11111111111111
Aberdeen,.Sample,86,0.331329943,68,0.261981815,SD,,,
Aberdeen,.15% sample,NA,NA,93,0.35126152,SD,,,
Aberdeen,.5% sample,NA,NA,18,0.067986101,SD,,,
Aberdeen,1960,27,0.117019893,NA,NA,SD,,,
Rapid City,1990,541,0.992241806,1215,2.228417365,SD,691,0.782923299565847,1.75832127351664
Rapid City,.Sample,521,0.955560039,1195,2.191735598,SD,,,
Rapid City,1980,231,0.496859675,755,1.623935301,SD,406,0.568965517241379,1.85960591133005
Rapid City,.Sample,255,0.548481459,770,1.656198916,SD,,,
Rapid City,.15% sample,NA,NA,519,1.18395839,SD,,,
Rapid City,.5% sample,NA,NA,666,1.519299206,SD,,,
Rapid City,1960,71,0.16745678,NA,NA,SD,,,
Sioux Falls,1990,688,0.682444899,571,0.566389589,SD,733,0.938608458390177,0.778990450204638
Sioux Falls,.Sample,801,0.794532505,666,0.660622533,SD,,,
Sioux Falls,1980,309,0.379872884,374,0.459781419,SD,251,1.23107569721116,1.49003984063745
Sioux Falls,.Sample,401,0.492986317,350,0.430287309,SD,,,
Sioux Falls,.15% sample,NA,NA,325,0.448350072,SD,,,
Sioux Falls,.5% sample,NA,NA,247,0.340746055,SD,,,
Sioux Falls,1960,42,0.064155439,NA,NA,SD,,,
Chattanooga,1970,81,0.068020356,NA,NA,TN,,,
Nashville,1970,631,0.140847271,NA,NA,TN,,,
Knoxville,1970,285,0.163242395,NA,NA,TN,,,
Memphis,1970,1090,0.174811156,NA,NA,TN,,,
Chattanooga,1990,1478,0.969396456,974,0.638830952,TN,51338,0.028789590556703,0.01897230121937
Chattanooga,.Sample,1374,0.901054509,925,0.60660511,TN,,,
Chattanooga,1980,583,0.343820954,1295,0.763718928,TN,53716,0.010853377019882,0.024108273140219
Chattanooga,.Sample,765,0.451194338,1274,0.751400767,TN,,,
Chattanooga,.15% sample,NA,NA,421,0.350985427,TN,,,
Chattanooga,.5% sample,NA,NA,1576,1.313902691,TN,,,
Chattanooga,1960,64,-,NA,NA,TN,,,
Knoxville,1990,1725,1.044688441,1099,0.66557252,TN,26053,0.066211184892335,0.042183241853146
Knoxville,.Sample,1653,1.001084054,986,0.597137856,TN,,,
Knoxville,1980,927,0.529623493,1210,0.691310061,TN,25582,0.036236416230162,0.047298882026425
Knoxville,.Sample,907,0.518196881,1317,0.752442438,TN,,,
Knoxville,.15% sample,NA,NA,554,0.317320304,TN,,,
Knoxville,.5% sample,NA,NA,497,0.284671826,TN,,,
Knoxville,1960,61,0.054548544,NA,NA,TN,,,
Memphis,1990,4805,0.787269984,4455,0.729924615,TN,334737,0.014354552977412,0.013308955986342
Memphis,.Sample,4589,0.751879699,4011,0.65717792,TN,,,
Memphis,1980,2701,0.417881168,5225,0.808378046,TN,307702,0.008777973493835,0.016980715107474
Memphis,.Sample,2864,0.443099468,5730,0.886508364,TN,,,
Memphis,.15% sample,NA,NA,2804,0.449536916,TN,,,
Memphis,.5% sample,NA,NA,12644,2.027744367,TN,,,
Memphis,1960,322,0.064720496,NA,NA,TN,,,
Nashville,1990,6852,1.403023093,4632,0.948453439,TN,118627,0.057760880743844,0.039046760012476
Nashville,.Sample,6220,1.273238652,4131,0.84561879,TN,,,
Nashville,1980,2202,0.483264604,3627,0.796003959,TN,105942,0.020784957807102,0.03423571388118
Nashville,.Sample,2418,0.530655331,3257,0.714782635,TN,,,
Nashville,.15% sample,NA,NA,2903,0.647986732,TN,,,
Nashville,.5% sample,NA,NA,9764,2.179449691,TN,,,
Nashville,1960,122,0.071397638,NA,NA,TN,,,
Mesquite,1970,31,0.056229707,NA,NA,TX,,,
Laredo,1970,43,0.062297172,NA,NA,TX,,,
Beaumont,1970,101,0.087129806,NA,NA,TX,,,
