Name,F.year,Address,States,City,County,Type
Latino Student Fund,1995,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
League of United Latin American Citizens,1929,"1133 19th Street, NW, Suite 1000 Washington, DC 20036",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
LULAC National Educational Service Centers,1973,"1133 19th Street, NW, Suite 1000 Washington, DC 20036",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
"MANA, A National Latina Organization",1974,"1140 19th St. NW, Ste. 550 Washington, DC 20036",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
National Alliance for Hispanic Health,1973,"1501 16th St. NW Washington, DC 20036 ",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
National Community for Latino Leadership,1989,1701 K Street Northwest Washington DC 20006,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
National Council of La Raza,1968,1126 16th St Nw 6th Fl Washington DC 20036-4804,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
National Hispanic Council on Aging,1980,"734 15th St Nw Ste 1050 Washington, DC 20005-1038",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Hybrid
National Hispanic Council on Aging Housing of Dist of Columbia,1994,2713 Ontario Road Nw Ste 200 Washington DC 20009-8838,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
National Hispanic Health Foundation,1994,"1411 K St Nw Ste 1100 Washington, DC 20005-3461",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
National Latina Health Network,1989,"2201 Washington Ave. NW, Ste. 340, Washington, DC 20007",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
"National Latino/Latina Lesbian, Gay, Bisexual and Transgender Organization",1987,"Northwest, Washington, DC 20006",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Strategic Investment Fund for La Raza,2001,"1126 16TH STREET NW WASHINGTON , DC 20036",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
"Unid@s, The National Latina/Latino LGBT Human Rights Organization",2007,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Voto Latino,2004,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Hispanic Coalition of Greater Waterbury,1972,"135 E Liberty St # 5, Waterbury, CT 06706",CT,WATERBURY,NEW HAVEN,CBO
Madre Latina,2011,,CT,WATERBURY,NEW HAVEN,CBO
El Puente Latino,2008,,IL,WAUKEGAN,LAKE,CBO
Hispanic American Community Education and Services,2005,"641 Lorraine Ave Waukegan, IL 60085-3645",IL,WAUKEGAN,LAKE,CBO
La Casa De Esperanza,1979,"410 Arcadian Avenue, Waukesha, WI 53186",MN,WAUKESHA,WABASHA,CBO
Latino Family Institute,1997,"1501 W Cameron Ave Ste 240 West Covina, CA 91790-2733 ",CA,WEST COVINA,LOS ANGELES,CBO
Institute for Latino Studies Research and Development,2001,,NJ,WEST MILFORD,PASSAIC,CBO
Hispanic Education Coalition of Palm Beach County,2016,"3006 S DIXIE HWY WEST PALM BCH, FL 33405 ",FL,WEST PALM BEACH,PALM BEACH,Hybrid
Hispanic Human Resources Council,1977,"1427 S Congress Ave West Palm Bch, FL 33406-5120",FL,WEST PALM BEACH,PALM BEACH,CBO
Latino Health Community,2014,,FL,WESTON,BROWARD,CBO
Latino U College Access,2013,"75 Virginia Rd, White Plains, NY 10603",NY,WHITE PLAINS,WESTCHESTER,CBO
Westchester Hispanic Coalition,1975,"46 Waller Avenue, White Plains, NY 10605",NY,WHITE PLAINS,WESTCHESTER,CBO
Hispanic Outreach Taskforce,1990,6706 Friends Ave Whittier CA 90601-4432,CA,WHITTIER,LOS ANGELES,CBO
Latino Community Diabetes Council,2014,,CA,WHITTIER,LOS ANGELES,CBO
Latino Scholastic Achievement Corporation,1992,"11616 Ridgegate Dr, Whitter , CA 90601",CA,WHITTIER,LOS ANGELES,CBO
Kansas Hispanic Education and Development Foundation,2007,"Wichita, KS 67204-0248",KS,WICHITA,SEDGWICK,CBO
Diamond Hispanic Network,2013,,CA,WINCHESTER,RIVERSIDE,CBO
Latino Service Providers,1989,930 Shiloh Road Bldg 40 Ste A Windsor CA 95492-6619,CA,WINDSOR,SONOMA,CBO
El Buen Pastor Latino Community Services,2006,"4637 Tim Rd, Winston-Salem, NC 27106",NC,WINSTON-SALEM,FORSYTH,CBO
Hispanic League,1992,"690 Coliseum Dr Winston Salem, NC 27106-5311",NC,WINSTON-SALEM,FORSYTH,CBO
Mexican American Concilio of Yolo,1970,"P.O Box 879, Woodland, CA 95776",CA,WOODLAND,YOLO,CBO
Latino Community Information and Education Center,2014,,UT,WOODS CROSS,DAVIS,CBO
Worcester Latino Dollar for Scholars,1994,"Worcester, MA 01601",MA,WORCESTER,WORCESTER,CBO
